"Node->Node in *adj",7
"(Node -> Node - iden) in ^adj",4
"all n: Node | n.*adj = Node",4
"all a, b : Node | a in b.*adj",1
"all n:Node | Node in n.*adj",38
"all v : Node | Node in v.*adj",2
"all x : Node | Node in x.*adj",5
"all e1 : Node | Node in e1.*adj",2
"all n1, n2: Node | n1 in n2.*adj",2
"all n1,n2:Node | n2 in n1.*adj",2
"all disj x,y : Node | x in y.^adj",7
"all n : Node | Node = (n.^adj + n)",7
"all x : Node | Node in x.^adj + x",2
"all n : Node | Node-n in n.^adj",13
"all disj n1, n2 : Node | n2 in n1.^adj",1
"all n : Node | Node in n.(^adj + iden)",1
"all a:Node , b:Node| b in a.*adj",1
"one Node or all n : Node | Node in n.^adj",1
"all n : Node | Node in n.^adj or one Node",2
"all disj n1,n2: Node | n1 in n2.^adj and n2 in n1.^adj",1
