"Protected in Trash",1
"not Protected in Trash",1
"no (File & Trash & Protected)",2
"no p:Protected | p in Trash",1
"all f:Protected | f in Trash",3
"all f:Trash | f in Protected",1
"all f:File | f not in Protected",3
"all p : Protected | p in Trash",1
"all f:Trash | f not in Protected",2
"all p : Protected | not p in Trash",1
"(File - Protected) & Trash = File & Trash",2
"all f:File | Protected - f in Trash",1
"all f:File, p:Protected | f in Trash",1
"all f:File | f in Trash implies f in Protected",2
"all f:File | f in Trash or f not in Protected",3
"all f:File | f in Trash implies f not in Protected",7
"all f:File | f in Protected implies f not in Trash",1
"some f:File | f in Trash implies f in Protected",1
"some f:File | f in Trash and f not in Protected",1
"all f : File | f not in Protected implies f not in Trash",2
"some f : File | f not in Protected and f in Trash",2
"some f:File | f in Trash or f not in Protected",1
"all f : File | f not in Protected and f not in Trash",1
"some f:File | f in Trash implies f not in Protected",1
"all f:File, p:Protected | f in Trash implies f != p",1
"some f:File, p:Protected | f in Trash and p not in Trash",1
"all f : File | f not in Protected && (f in Trash || f in File)",1
"all f:File, p:Protected | f in Trash implies f not in Protected",1
"all f:File, p:Protected | f not in Protected and f in Trash",1
"all f:File | all p:Protected | f != p implies f in Trash",1
"some f:File | all p:Protected | f in Trash and p not in Trash",1
